id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,city,country
ChdDSUhNMG9nS0VJQ0FnSURDdWYtLWpRRRAB,Muy buena atencion,Hace una semana,2020-10-17 16:18:07.836052,5.0,luis gabriel pereyra diaz,0,0,https://www.google.com/maps/contrib/110579502654704286701?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChdDSUhNMG9nS0VJQ0FnSURzb2NLTV9RRRAB,,Hace 7 meses,2020-10-17 16:18:07.836052,3.0,Maximiliano Freire,0,0,https://www.google.com/maps/contrib/106703461633128376322?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChdDSUhNMG9nS0VJQ0FnSURNa0tuUy1BRRAB,"Este Banco (todas las sucursales) tiene los recursos para una funcionalidad, reputación y confianza óptimas. Sin embargo, algunos 'modelos de negocios' y políticas internas están condicionadas, limitadas por una cultura y mentalidad no inclusivas. Significando que ven como no necesario brindar ciertos servicios básicos como: extración por ventanilla, envío de resumenes digitales y comunicación de cambios en los servicios, etc, a clientes 'pobres', cuyas cuentas no manejen volumenes altos de dinero. Señores debiesen revisar esto, pues ustedes, no lo tomen a mal, distan mucho de ser el Mitsubishi UFJ Financial Group, o el Chase Manhattan Bank, ni siquiera se acercan al BPN Pariba. Sugerencia: la actitud de servicio, la humildad, el respeto y cercanía a TODOS sus clientes es el comienzo a un mejor Banco. No solo debe ser visible en el trato al cliente, va más allá de eso, debe estar reflejado en una selección de servicios que solucionen problemas puntuales cotidianos de TODOS los usuarios, de la forma más rápida, eficiente y alegre posible",Hace 10 meses,2020-10-17 16:18:07.837051,1.0,i Lix,5,0,https://www.google.com/maps/contrib/112426475804946451296?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChZDSUhNMG9nS0VJQ0FnSURNalBqUFdBEAE,"Nunca me atendio tan mal el personal de recepción de un banco, daba la impresión que le generaba molestia que le haga una consulta. Si no les gusta su trabajo, o les incómoda la atención al público, busquense otro rubro.",Hace 11 meses,2020-10-17 16:18:07.838052,1.0,Gonzalo Pereira,6,0,https://www.google.com/maps/contrib/110946745520969028818?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChdDSUhNMG9nS0VJQ0FnSUMwejh6ZWlRRRAB,"TE OFRECEN MILES DE ""BENEFICIOS"" PARA ABRIR UNA CUENTA Y NO CUMPLEN CON NADA, USUREROS",Hace un año,2020-10-17 16:18:07.838052,1.0,Leo Rodriguez,1,0,https://www.google.com/maps/contrib/110511974827049470236?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChZDSUhNMG9nS0VJQ0FnSUMwME52TFF3EAE,"te ofrecen el oro y el moro para que abras una cuenta (millas latam etc) y obvio NUNCA LO CUMPLEN. no creer nada de lo que dicen para que te pases de banco , son MENTIRAS!",Hace un año,2020-10-17 16:18:07.839019,1.0,Gabriel Belamendia,40,0,https://www.google.com/maps/contrib/102775296860272171959?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChdDSUhNMG9nS0VJQ0FnSURrdnVEWC1BRRAB,Nunca acepten una tarjeta bonificada emitida por este banco!! Después aunque NUNCA la hayas habilitado ni usado te quieren cobrar y te amenazan con hacerte juicio y mandarte al veraz,Hace un año,2020-10-17 16:18:07.840031,1.0,Andrés Carsen,0,0,https://www.google.com/maps/contrib/108516478557757581247?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChdDSUhNMG9nS0VJQ0FnSUNVamJlMWlnRRAB,Poca gente atiende tan bien como ellos,Hace un año,2020-10-17 16:18:07.841034,5.0,José Fuertes,11,0,https://www.google.com/maps/contrib/116780718076907416256?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChZDSUhNMG9nS0VJQ0FnSURNakpqbUF3EAE,Jamas te podes comunicar con nadie de carne y hueso que te solucionen nada!!! Da asco la atención! Te boludean! Ni por mail ni por telefono ni por chat!!!! Me cobraron casi 500 pesos mas de lo que decía mi resumen de 2 tarjetas y nadie me responde!,Hace un año,2020-10-17 16:18:07.842018,1.0,Adriana Santucho,1,0,https://www.google.com/maps/contrib/103095292832919273754?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChZDSUhNMG9nS0VJQ0FnSURNakxqOGVBEAE,,Hace un año,2020-10-17 16:18:07.843018,4.0,Bea Fotografía de Naturaleza,0,0,https://www.google.com/maps/contrib/112528157265308633577?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChZDSUhNMG9nS0VJQ0FnSURNaktpOFZREAE,,Hace un año,2020-10-17 16:18:07.844038,5.0,Amalia Villanueva,0,0,https://www.google.com/maps/contrib/102296442901385781054?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
ChZDSUhNMG9nS0VJQ0FnSURNakpqN05BEAE,El interior de éste edificio es impactante.,Hace un año,2020-10-17 16:18:07.844038,4.0,Christian Décima,0,0,https://www.google.com/maps/contrib/108933985980249783953?hl=es-DE,Ciudad de Buenos Aires Argentina, Argentina
